Age year	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
35	0.230653018167588	0.227792402869735	0.248585370601911	0.271762158836416	0.236613742244445	0.253118436662199	0.270299438849595	0.269577374514164	0.268695328308311	0.267620587978708	0.266315106883368	0.264735306199964	0.276137255197866	0.294508340059053	0.262692754256788	0.268713560945891	0.265332080085455	0.240140579432564	0.247454676270798	0.254363620633562	0.254185994125595	0.254759856892781	0.223695976167628	0.219373924695416	0.223838396574965	0.199030137238134	0.198319323442236	0.187627627324355	0.172042183087447	0.165984691326567	0.169806872756984	0.148925444701769	0.133506075043071	0.147913239771783	0.125053401045803	0.142232704939929	0.11600879826617	0.138237491784668	0.136733219273277	0.135492126908709	0.134471761187183	0.133635276605638	0.132951146174381	0.132392692596725	0.131632771799476	0.136666146170679	0.134897301185127	0.132923662102966	0.137620015582278	0.130780817385932	0.132722963227378	0.145161941927854	0.144137836622816
36	0.216791072486568	0.217565346871226	0.231290700735861	0.255708365972208	0.220715097139423	0.235783296921386	0.254326509941043	0.253644374812345	0.252811114614089	0.251795833144861	0.250562598550953	0.249070258121914	0.261151457420181	0.277189657779943	0.248084507587692	0.253129250788773	0.252817155717382	0.225960227680623	0.233469025574426	0.237021729217638	0.236559822639709	0.236640804584076	0.211464464594358	0.20693651892055	0.212253169721074	0.187995198870231	0.186755094073898	0.176616782941116	0.161580531374327	0.155868822650945	0.159699325853779	0.139836056100247	0.125356427409247	0.13883408321613	0.11777579470528	0.133481116608103	0.107675660711638	0.129716802737509	0.128299581309096	0.127130357372212	0.126169110753302	0.1253811133232	0.124736653578603	0.124210592986102	0.123077724355025	0.127787551150634	0.126300580924415	0.124659962044999	0.129231124528804	0.123070710497628	0.124866900605822	0.13677538879855	0.135625765581049
37	0.203209950881838	0.206354921020048	0.213690182846846	0.238714530195393	0.204465517783991	0.218105791199387	0.237409698468064	0.236765615440045	0.235978864738706	0.235020292876226	0.233856001756161	0.232447178255282	0.244527210167877	0.257701621430232	0.231958135124589	0.236648068784206	0.238886752072396	0.210968607514503	0.218451189458604	0.218494995306745	0.217584348543952	0.217423956497937	0.198514741218592	0.193350471162848	0.199008073036345	0.175536226806083	0.173875719995192	0.164410464706042	0.150047177801335	0.144683202741371	0.148558784820694	0.129937728867969	0.116452633785969	0.128699331945632	0.109769851706113	0.123681126846182	0.0987881195402136	0.120153606030605	0.118825838031849	0.117730541231571	0.11683015867193	0.11609211441411	0.115488548300845	0.114995895028783	0.113337550370781	0.117679823364865	0.116500469793255	0.115243550164473	0.119694342070301	0.114348666039383	0.116061467889899	0.127155744277018	0.125992610480766
38	0.189661686245213	0.193638045053396	0.195873480325428	0.220555109751956	0.187912103768384	0.200171229154102	0.219325988541148	0.218719326009178	0.217978328505171	0.217075567452364	0.215979161742047	0.214652624427597	0.225960987424832	0.236016466961179	0.214023859592262	0.218910746468199	0.223003709185004	0.19484438034462	0.202043962980933	0.198685469989409	0.197271038594759	0.197120956301368	0.184658863841221	0.178393485255546	0.183871956205669	0.161538970867613	0.159599970664239	0.150939780744921	0.137377597433608	0.132372112439381	0.13633509792665	0.119197801693544	0.106765697263721	0.117478590514195	0.101074307264204	0.112809975920161	0.0894078178565924	0.109530409717825	0.108296458047692	0.107278754975849	0.106442296717932	0.105756745388949	0.105196170963296	0.104738651641605	0.102497868818019	0.106430769577067	0.105515421702068	0.104649739621992	0.108939117621255	0.10451452593438	0.106174980799128	0.116240407858625	0.115153714570581
39	0.175881780460163	0.178963812828818	0.177922897335175	0.201057601717856	0.171093267446465	0.182047429463637	0.199905480983311	0.199336891264972	0.198642457777022	0.19779651630496	0.196769252205526	0.195526566665669	0.205269133155471	0.212249291802138	0.194106159471782	0.199612917840042	0.204722150016827	0.177324654498456	0.183958402393971	0.177580923484792	0.175715791475655	0.175802700590532	0.169701626948503	0.161904115272696	0.16671403534346	0.145968193295969	0.143911315626049	0.136194672818329	0.123564511420054	0.118937172308722	0.123025901547625	0.107615689680293	0.0962988786211048	0.105198865885578	0.0917260516924238	0.100902247116839	0.0796086100281172	0.0978869967713277	0.0967531532473101	0.0958182897182098	0.0950501059560323	0.0944206390666893	0.0939060106949135	0.0934860483445804	0.090707887389848	0.0941941449347558	0.0934439556241581	0.0929348565059774	0.0969803195683894	0.0935403571044851	0.0951470527313029	0.104040511312289	0.103093870832407
40	0.161625571415002	0.162053399052419	0.159931210352303	0.18017067042541	0.154062727890571	0.163808625682207	0.179099388250666	0.178570779422612	0.177925252846751	0.177139003642721	0.17618439717104	0.175029857317133	0.182481258233528	0.18672058413895	0.172234689185149	0.178599384722792	0.183815029047913	0.158288974759206	0.164071372825562	0.155327944582502	0.153159472931649	0.15365847226369	0.153506667800928	0.143863688840635	0.147596636996458	0.12893495883323	0.126922555385033	0.12028042712403	0.108712056560907	0.104490293610938	0.108724963352748	0.0952623508720614	0.0851235822555362	0.0919935776842928	0.0817903055091412	0.0880975388507582	0.0695017339525503	0.0853671261494879	0.0843412077316552	0.0834956703662189	0.0828011193896502	0.0822321466739511	0.0817670823667546	0.0813876380057381	0.0782135254158962	0.0812242676444679	0.0805100265780502	0.0802870081371034	0.0839772648966583	0.0815286220678598	0.0830509852888366	0.0907013936947514	0.0899295545934165
41	0.146708219769213	0.142909451460628	0.142016700288774	0.158029220678779	0.136910866181822	0.145556610236896	0.157044886905663	0.156559284938374	0.155966370538843	0.155244341482586	0.15436791205161	0.153308225553914	0.157923215716336	0.159997355475693	0.148724828855168	0.155959448704892	0.160407188024603	0.137842700956232	0.142522605405204	0.132289888008934	0.130031155305496	0.131041171793845	0.136066540018824	0.124473800833894	0.126857558888632	0.110753429922811	0.108930732424407	0.103465469918241	0.0930807851775897	0.0892970962947203	0.0936631851540887	0.0823143985679852	0.0734098939238796	0.078140983413771	0.0713888759343495	0.0746772342160205	0.0592552305670088	0.0722541128218135	0.0713446045691411	0.0705954061885984	0.0699802617342728	0.0694765218176045	0.0690649006736673	0.0687291431352319	0.0653758713336731	0.0678954190613103	0.0670909682394065	0.0670602878783383	0.0702764907589675	0.0687584409008604	0.0701454478425193	0.076549844150008	0.0759591504168505
42	0.131046965788983	0.12190932743406	0.124333924052966	0.135003260839651	0.119781366358187	0.127437260159438	0.134113648044684	0.133674894045782	0.133139287713815	0.132487206082365	0.131695918630529	0.130739525600129	0.132264587673022	0.132895468823854	0.124223268350077	0.132103053981034	0.135079339270008	0.116380936360998	0.119787626402036	0.109071515000751	0.106959016733758	0.108485716052478	0.117567230650772	0.104209424228223	0.10515549656751	0.0919690268007188	0.0904457960471112	0.0862064272328824	0.0771096772316529	0.0737970323470528	0.078230740663381	0.0690742334062515	0.0614436456572027	0.0640785251331721	0.0607212388825078	0.0610769933331472	0.0491026260063263	0.0589820066959074	0.0581967084044225	0.0575502632517117	0.0570197841846211	0.0565855781457869	0.0562309109733884	0.0559417014493484	0.0526646254317832	0.0546952233451596	0.0537131626339604	0.05377575522308	0.0564187606087445	0.0557015323603148	0.0568957825459189	0.0621093648535054	0.0616821987981069
43	0.114700801202212	0.0998438160978642	0.107078602420381	0.111712787855695	0.102880512772877	0.109650184347705	0.110926288176944	0.110538520935996	0.11006527484058	0.109489291032678	0.108790608131953	0.107946526759807	0.106501571163861	0.106427988159039	0.0996900566896833	0.107788102489493	0.108894130455092	0.0946063803832447	0.096693686786702	0.0864909665723432	0.0847346020997263	0.0866872678493314	0.0984307062854203	0.083821792248589	0.0834479537017297	0.0733380088723688	0.0721745115445632	0.069134784606631	0.0613999893959422	0.0585853550979658	0.0629673733771526	0.0559661590656765	0.0496207613072068	0.0503793243925163	0.0500718064099507	0.0478615846242621	0.0393358334592694	0.0461092750922878	0.045453520425764	0.0449141688762064	0.0444718822398279	0.0441100732616365	0.0438146826223285	0.0435739041336585	0.0406189122243872	0.0421840208381026	0.0410036571177958	0.0410748692514675	0.043092341620362	0.0429890719321741	0.0439439239184674	0.0480647481738379	0.0477679267418646
44	0.097898833513261	0.0778610987390918	0.090485078175517	0.088990956183637	0.0864763114446855	0.0924490858717642	0.0883150754657702	0.0879819858637475	0.0875755956662594	0.0870811680370585	0.0864816909243996	0.0857578665339392	0.0818533298934534	0.0816941267698141	0.0762958062919074	0.0840681168827914	0.083297330607094	0.0734745945008738	0.0743471118533523	0.065487003515983	0.0642237474610056	0.0664311308508806	0.0793146334681037	0.0642682075132324	0.062879926453183	0.0557450507562006	0.0549465660688361	0.0529939466850921	0.0466507046307638	0.044347341409332	0.0485112984393551	0.0435004738466438	0.0384118383754253	0.0376832942844089	0.039796881761508	0.0356552165031899	0.0302791278113184	0.0342486501265139	0.0337233579759117	0.033291759034311	0.0329381386817071	0.0326490690253452	0.0324132036436078	0.0322210382711038	0.0297757076990534	0.0309204269655202	0.0295969992666754	0.0296225308525343	0.0310270658700288	0.0313204242188956	0.0320154593350956	0.0351672379608241	0.0349627120930106
